 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 beef, ice cream, dinner rolls, cereals, sandwich loaves, laundry detergent, soap, spaghetti sauce, individual meals, laundry detergent, sandwich loaves, sandwich bags, cheeses, soda
 dishwashing liquid/detergent, butter, bagels, fruits, shampoo, cheeses, all- purpose, coffee/tea, dinner rolls, laundry detergent, ,,,
 fruits, vegetables, soap, fruits, eggs, butter, mixes, spaghetti sauce, poultry, all- purpose, dishwashing liquid/detergent, beef, cheeses, vegetables
 ice cream, paper towels, pork, mixes, vegetables, aluminum foil, spaghetti sauce, cereals, ice cream, sandwich loaves, toilet paper, toilet paper, eggs, vegetables
 sandwich loaves, milk, waffles, soda, vegetables, sugar, mixes, soda, milk, yogurt, toilet paper, sandwich loaves, lunch meat, individual meals
 laundry detergent, bagels, pasta, spaghetti sauce, ice cream, eggs, pasta, cereals, soda, spaghetti sauce, vegetables, waffles, hand soap, pork
 tortillas, soap, shampoo, soda, yogurt, cereals, sandwich loaves, sandwich loaves, beef, poultry, all- purpose, fruits, paper towels, tortillas
 waffles, aluminum foil, beef, beef, sugar, individual meals, beef, yogurt, yogurt, fruits, pork, cereals, paper towels, beef
 shampoo, tortillas, milk, mixes, milk, coffee/tea, cereals, coffee/tea, mixes, all- purpose, soda, tortillas, beef, lunch meat
 lunch meat, soap, soda, hand soap, butter, milk, lunch meat, lunch meat, ice cream, butter, lunch meat, dishwashing liquid/detergent, laundry detergent, paper towels
 aluminum foil, coffee/tea, spaghetti sauce, lunch meat, cheeses, spaghetti sauce, soda, sugar, spaghetti sauce, ice cream, pasta, vegetables, flour, laundry detergent
 fruits, coffee/tea, beef, lunch meat, vegetables, sandwich loaves, juice, individual meals, yogurt, pasta, hand soap, cheeses, waffles, vegetables
 cheeses, toilet paper, toilet paper, juice, all- purpose, fruits, lunch meat, sugar, beef, toilet paper, sugar, pork, beef, laundry detergent
 cereals, individual meals, hand soap, soda, juice, pork, eggs, tortillas, tortillas, flour, ,,,
 milk, dishwashing liquid/detergent, flour, yogurt, milk, all- purpose, all- purpose, waffles, mixes, cheeses, cheeses, hand soap, aluminum foil, vegetables
 vegetables, toilet paper, juice, waffles, bagels, vegetables, vegetables, dishwashing liquid/detergent, beef, dinner rolls, sandwich bags, sandwich loaves, pork, yogurt
 lunch meat, aluminum foil, shampoo, dinner rolls, toilet paper, sugar, soda, milk, individual meals, soda, vegetables, spaghetti sauce, milk, soda
 juice, coffee/tea, shampoo, pasta, dishwashing liquid/detergent, hand soap, soap, pasta, all- purpose, sandwich loaves, sandwich bags, ketchup, waffles, cereals
 yogurt, lunch meat, soap, individual meals, vegetables, shampoo, aluminum foil, milk, waffles, soap, paper towels, flour, shampoo, 
 fruits, soda, pork, yogurt, shampoo, sandwich loaves, sandwich bags, sugar, vegetables, ,,,,
 soda, cheeses, pasta, sandwich bags, bagels, sugar, beef, butter, all- purpose, all- purpose, sandwich loaves, juice, toilet paper, pork
 aluminum foil, soda, spaghetti sauce, cheeses, cheeses, sandwich bags, vegetables, vegetables, cheeses, toilet paper, waffles, vegetables, all- purpose, flour
 waffles, vegetables, soap, ice cream, lunch meat, individual meals, all- purpose, pasta, paper towels, juice, vegetables, poultry, spaghetti sauce, aluminum foil
 soap, bagels, tortillas, eggs, sandwich bags, poultry, toilet paper, dishwashing liquid/detergent, pork, cheeses, spaghetti sauce, vegetables, fruits, sandwich bags
 laundry detergent, pasta, hand soap, eggs, milk, hand soap, waffles, beef, bagels, sandwich bags, soda, juice, soap, cereals
 all- purpose, ketchup, yogurt, ice cream, soda, ice cream, vegetables, vegetables, laundry detergent, ice cream, vegetables, spaghetti sauce, soap, vegetables
 coffee/tea, sandwich loaves, juice, bagels, individual meals, juice, spaghetti sauce, shampoo, butter, sandwich bags, tortillas, poultry, ,
 juice, tortillas, aluminum foil, fruits, ice cream, eggs, milk, bagels, cereals, shampoo, ice cream, beef, pork, individual meals
 aluminum foil, fruits, ice cream, sandwich loaves, tortillas, cereals, cereals, paper towels, aluminum foil, vegetables, cereals, toilet paper, cereals, milk
 poultry, yogurt, eggs, soap, sugar, ice cream, shampoo, yogurt, waffles, milk, bagels, soda, bagels, cereals
 individual meals, beef, lunch meat, ice cream, individual meals, cheeses, vegetables, vegetables, coffee/tea, cereals, eggs, ,,
 bagels, poultry, yogurt, aluminum foil, mixes, cheeses, laundry detergent, vegetables, vegetables, pork, waffles, vegetables, sandwich bags, ketchup
 ice cream, poultry, mixes, aluminum foil, pasta, laundry detergent, laundry detergent, sugar, cereals, vegetables, pork, spaghetti sauce, mixes, flour
 yogurt, sugar, yogurt, ketchup, tortillas, mixes, juice, bagels, coffee/tea, ice cream, shampoo, dinner rolls, all- purpose, butter
 toilet paper, juice, sugar, shampoo, eggs, waffles, ice cream, hand soap, beef, vegetables, ,,,
 shampoo, laundry detergent, spaghetti sauce, mixes, sandwich loaves, aluminum foil, juice, cereals, eggs, shampoo, poultry, juice, yogurt, cereals
 mixes, milk, soda, poultry, sugar, milk, sandwich bags, fruits, bagels, sugar, laundry detergent, tortillas, poultry, sugar
 eggs, fruits, individual meals, tortillas, flour, ice cream, aluminum foil, ,,,,,,
 toilet paper, sandwich bags, bagels, waffles, cereals, mixes, dishwashing liquid/detergent, lunch meat, cheeses, sandwich loaves, tortillas, flour, soda, cheeses
 waffles, spaghetti sauce, poultry, vegetables, beef, vegetables, flour, coffee/tea, ketchup, vegetables, cereals, pasta, eggs, spaghetti sauce
 butter, eggs, aluminum foil, cereals, cheeses, fruits, aluminum foil, cereals, dinner rolls, aluminum foil, mixes, pork, soap, shampoo
 dishwashing liquid/detergent, cereals, fruits, pasta, ketchup, poultry, aluminum foil, aluminum foil, individual meals, yogurt, waffles, butter, paper towels, all- purpose
 dishwashing liquid/detergent, poultry, dinner rolls, bagels, fruits, shampoo, ketchup, ,,,,,,
 beef, shampoo, vegetables, waffles, lunch meat, ,,,,,,,,
 vegetables, dinner rolls, hand soap, waffles, vegetables, butter, vegetables, flour, beef, ice cream, butter, individual meals, vegetables, cheeses
 bagels, poultry, dishwashing liquid/detergent, coffee/tea, eggs, bagels, mixes, all- purpose, bagels, ice cream, soda, vegetables, vegetables, sandwich loaves
 spaghetti sauce, lunch meat, dinner rolls, mixes, ,,,,,,,,,
 sandwich loaves, yogurt, spaghetti sauce, aluminum foil, poultry, soda, flour, flour, ketchup, individual meals, cheeses, vegetables, toilet paper, soap
 dishwashing liquid/detergent, vegetables, poultry, vegetables, milk, mixes, bagels, sandwich loaves, pasta, ice cream, individual meals, hand soap, lunch meat, dishwashing liquid/detergent
 cereals, waffles, tortillas, spaghetti sauce, toilet paper, dishwashing liquid/detergent, toilet paper, individual meals, pork, toilet paper, poultry, spaghetti sauce, hand soap, fruits
 bagels, individual meals, sandwich bags, vegetables, vegetables, vegetables, ketchup, laundry detergent, soda, shampoo, flour, tortillas, yogurt, waffles
 ice cream, tortillas, soda, hand soap, tortillas, bagels, sandwich bags, sandwich bags, milk, sandwich bags, shampoo, ,,
 sugar, waffles, ketchup, fruits, butter, flour, dinner rolls, vegetables, vegetables, spaghetti sauce, aluminum foil, eggs, ,
 sandwich loaves, paper towels, lunch meat, sandwich loaves, flour, laundry detergent, soda, tortillas, soda, waffles, paper towels, sugar, vegetables, dinner rolls
 yogurt, cheeses, coffee/tea, coffee/tea, vegetables, dinner rolls, cereals, dinner rolls, laundry detergent, lunch meat, vegetables, lunch meat, tortillas, cereals
 sugar, toilet paper, soap, lunch meat, butter, sugar, ,,,,,,,
 sandwich loaves, soap, soap, sandwich loaves, laundry detergent, milk, eggs, ice cream, pork, toilet paper, soda, sandwich loaves, mixes, 
 ice cream, laundry detergent, juice, cereals, ice cream, coffee/tea, ketchup, all- purpose, shampoo, soda, milk, dinner rolls, vegetables, tortillas
 vegetables, fruits, vegetables, beef, ketchup, milk, paper towels, milk, soap, vegetables, soda, all- purpose, waffles, pork
 yogurt, soda, soap, waffles, aluminum foil, soap, pork, cereals, coffee/tea, paper towels, cheeses, eggs, flour, 
 sugar, milk, coffee/tea, hand soap, aluminum foil, dinner rolls, poultry, mixes, laundry detergent, butter, vegetables, ketchup, lunch meat, butter
 toilet paper, toilet paper, toilet paper, lunch meat, soda, individual meals, waffles, soda, pork, dishwashing liquid/detergent, coffee/tea, ice cream, butter, eggs
 spaghetti sauce, waffles, cheeses, pork, cereals, coffee/tea, cereals, sandwich bags, cheeses, aluminum foil, poultry, sandwich loaves, lunch meat, bagels
 hand soap, dishwashing liquid/detergent, waffles, laundry detergent, flour, vegetables, cereals, shampoo, ice cream, shampoo, sugar, all- purpose, yogurt, milk
 lunch meat, juice, lunch meat, vegetables, butter, waffles, toilet paper, spaghetti sauce, pork, bagels, beef, pork, shampoo, mixes
 individual meals, lunch meat, poultry, hand soap, eggs, dinner rolls, paper towels, yogurt, toilet paper, ice cream, all- purpose, sugar, vegetables, milk
 hand soap, individual meals, beef, yogurt, tortillas, mixes, vegetables, cereals, toilet paper, lunch meat, aluminum foil, vegetables, yogurt, vegetables
 tortillas, beef, cereals, ketchup, poultry, sandwich bags, poultry, all- purpose, vegetables, pasta, pasta, individual meals, paper towels, juice
 fruits, lunch meat, paper towels, paper towels, eggs, yogurt, sandwich bags, butter, all- purpose, eggs, dishwashing liquid/detergent, shampoo, bagels, ice cream
 shampoo, all- purpose, dinner rolls, coffee/tea, hand soap, aluminum foil, ,,,,,,,
 vegetables, soap, vegetables, ketchup, mixes, individual meals, laundry detergent, eggs, bagels, vegetables, pasta, juice, soap, mixes
 aluminum foil, laundry detergent, soap, sugar, eggs, sandwich bags, cheeses, sugar, eggs, bagels, dinner rolls, sandwich bags, eggs, shampoo
 ice cream, ketchup, cheeses, soap, sugar, ice cream, individual meals, laundry detergent, spaghetti sauce, pork, paper towels, soap, beef, vegetables
 butter, spaghetti sauce, pasta, ketchup, all- purpose, paper towels, individual meals, soda, soda, yogurt, spaghetti sauce, vegetables, soap, milk
 soap, bagels, pork, all- purpose, paper towels, butter, milk, paper towels, mixes, eggs, cheeses, ,,
 sandwich bags, sandwich bags, sandwich bags, butter, sandwich loaves, ,,,,,,,,
 soap, pork, vegetables, butter, paper towels, sandwich bags, vegetables, vegetables, flour, cereals, all- purpose, all- purpose, toilet paper, cereals
 milk, dishwashing liquid/detergent, eggs, vegetables, yogurt, waffles, tortillas, butter, individual meals, ,,,,
 soda, eggs, bagels, eggs, dinner rolls, laundry detergent, soda, paper towels, toilet paper, soap, dinner rolls, pasta, vegetables, 
 lunch meat, soap, hand soap, vegetables, sandwich loaves, aluminum foil, ketchup, waffles, mixes, milk, flour, ketchup, vegetables, pork
 sandwich bags, sugar, cheeses, milk, ketchup, flour, sandwich loaves, vegetables, soda, spaghetti sauce, ,,,
 flour, pork, spaghetti sauce, coffee/tea, cheeses, ketchup, cheeses, tortillas, aluminum foil, milk, dinner rolls, bagels, individual meals, 
 hand soap, coffee/tea, paper towels, soda, cheeses, soap, waffles, soda, milk, yogurt, pork, coffee/tea, cheeses, poultry
 sugar, sandwich loaves, cereals, paper towels, vegetables, pasta, shampoo, paper towels, shampoo, sugar, shampoo, bagels, coffee/tea, sugar
 paper towels, bagels, coffee/tea, cheeses, sugar, tortillas, vegetables, flour, laundry detergent, eggs, lunch meat, sugar, dishwashing liquid/detergent, dishwashing liquid/detergent
 vegetables, beef, pasta, eggs, sandwich loaves, cheeses, poultry, cheeses, waffles, fruits, soap, hand soap, beef, poultry
 poultry, spaghetti sauce, individual meals, pork, sugar, tortillas, soap, ketchup, poultry, juice, fruits, paper towels, soda, yogurt
 ice cream, bagels, sugar, sugar, laundry detergent, butter, individual meals, cereals, tortillas, cereals, laundry detergent, all- purpose, vegetables, tortillas
 eggs, cereals, vegetables, pork, individual meals, all- purpose, juice, all- purpose, all- purpose, aluminum foil, spaghetti sauce, paper towels, sandwich bags, yogurt
 sandwich loaves, yogurt, butter, flour, tortillas, all- purpose, beef, pasta, ketchup, sugar, individual meals, aluminum foil, lunch meat, soap
 individual meals, pork, shampoo, mixes, hand soap, individual meals, aluminum foil, sandwich loaves, pork, sandwich bags, tortillas, beef, yogurt, butter
 milk, lunch meat, butter, laundry detergent, spaghetti sauce, cheeses, soap, ice cream, ,,,,,
 tortillas, vegetables, toilet paper, yogurt, dishwashing liquid/detergent, vegetables, laundry detergent, sandwich bags, lunch meat, milk, tortillas, laundry detergent, vegetables, dinner rolls
 butter, soda, butter, pork, hand soap, lunch meat, butter, paper towels, eggs, vegetables, poultry, poultry, soda, coffee/tea
 aluminum foil, soda, hand soap, toilet paper, dishwashing liquid/detergent, milk, hand soap, ice cream, soap, pork, mixes, all- purpose, ,
 shampoo, flour, milk, aluminum foil, ketchup, pasta, laundry detergent, mixes, individual meals, pork, aluminum foil, ,,
 flour, coffee/tea, shampoo, lunch meat, bagels, tortillas, hand soap, beef, aluminum foil, all- purpose, soap, waffles, ,
 pork, ice cream, all- purpose, toilet paper, bagels, eggs, individual meals, aluminum foil, vegetables, sandwich loaves, ketchup, lunch meat, laundry detergent, fruits
 cheeses, fruits, mixes, flour, aluminum foil, soap, eggs, dishwashing liquid/detergent, juice, milk, coffee/tea, hand soap, ,
 paper towels, all- purpose, soda, butter, ketchup, waffles, soap, individual meals, laundry detergent, dishwashing liquid/detergent, lunch meat, vegetables, ketchup, vegetables
 bagels, dinner rolls, ketchup, paper towels, tortillas, eggs, fruits, bagels, eggs, laundry detergent, cereals, toilet paper, eggs, vegetables
 waffles, flour, soap, sugar, tortillas, soda, juice, all- purpose, milk, spaghetti sauce, fruits, hand soap, mixes, waffles
 sandwich bags, bagels, eggs, shampoo, pasta, sugar, dinner rolls, lunch meat, sandwich loaves, vegetables, hand soap, lunch meat, all- purpose, sandwich bags
 ketchup, individual meals, milk, coffee/tea, eggs, ,,,,,,,,
 hand soap, laundry detergent, sugar, soap, individual meals, flour, lunch meat, butter, sandwich bags, all- purpose, hand soap, sugar, sandwich loaves, aluminum foil
 pasta, aluminum foil, sugar, butter, soda, flour, soap, cheeses, shampoo, aluminum foil, pork, eggs, mixes, dinner rolls
 poultry, pasta, vegetables, cereals, eggs, sugar, sugar, pork, ,,,,,
 beef, aluminum foil, eggs, milk, dinner rolls, ,,,,,,,,
 pork, sandwich loaves, butter, tortillas, spaghetti sauce, dinner rolls, lunch meat, coffee/tea, dinner rolls, coffee/tea, vegetables, soap, flour, coffee/tea
 cereals, dishwashing liquid/detergent, paper towels, pork, yogurt, soda, mixes, eggs, mixes, dinner rolls, fruits, soap, beef, dinner rolls
 pork, hand soap, sugar, waffles, sandwich bags, all- purpose, all- purpose, pasta, dinner rolls, bagels, mixes, sandwich bags, beef, tortillas
 sandwich bags, vegetables, soda, bagels, all- purpose, dishwashing liquid/detergent, aluminum foil, fruits, waffles, cereals, hand soap, vegetables, mixes, vegetables
 poultry, vegetables, milk, butter, hand soap, bagels, individual meals, all- purpose, cereals, pasta, laundry detergent, toilet paper, lunch meat, beef
 vegetables, flour, cheeses, cheeses, juice, cereals, ice cream, flour, spaghetti sauce, spaghetti sauce, vegetables, soda, hand soap, sugar
 individual meals, butter, ketchup, dishwashing liquid/detergent, sandwich loaves, individual meals, toilet paper, lunch meat, vegetables, hand soap, bagels, shampoo, ketchup, coffee/tea
 fruits, coffee/tea, pasta, sandwich loaves, juice, ice cream, vegetables, yogurt, cereals, cheeses, hand soap, yogurt, tortillas, soap
 pork, soap, soda, paper towels, butter, dishwashing liquid/detergent, dinner rolls, lunch meat, ,,,,,
 yogurt, bagels, yogurt, cheeses, spaghetti sauce, yogurt, ,,,,,,,
 flour, sugar, coffee/tea, shampoo, sandwich loaves, spaghetti sauce, juice, dinner rolls, laundry detergent, lunch meat, poultry, pork, juice, toilet paper
 vegetables, butter, vegetables, cereals, laundry detergent, poultry, mixes, juice, individual meals, cheeses, fruits, spaghetti sauce, aluminum foil, vegetables
 juice, ketchup, sandwich loaves, soap, pork, vegetables, poultry, bagels, sandwich loaves, yogurt, ketchup, vegetables, pork, shampoo
 cheeses, soap, vegetables, waffles, cheeses, lunch meat, soap, all- purpose, soap, sugar, ice cream, cereals, hand soap, pork
 pork, poultry, all- purpose, sandwich bags, vegetables, individual meals, vegetables, laundry detergent, milk, soap, juice, aluminum foil, flour, individual meals
 ice cream, all- purpose, hand soap, all- purpose, dishwashing liquid/detergent, paper towels, ketchup, ,,,,,,
 ice cream, sandwich bags, individual meals, juice, fruits, cereals, pasta, ,,,,,,
 milk, vegetables, coffee/tea, mixes, sandwich loaves, sandwich bags, waffles, ,,,,,,
 mixes, coffee/tea, paper towels, dishwashing liquid/detergent, mixes, ,,,,,,,,
 bagels, hand soap, dishwashing liquid/detergent, flour, individual meals, sandwich loaves, hand soap, vegetables, lunch meat, cheeses, milk, bagels, butter, soap
 paper towels, sandwich loaves, yogurt, flour, lunch meat, sugar, laundry detergent, pork, ,,,,,
 sandwich loaves, aluminum foil, lunch meat, toilet paper, waffles, pasta, waffles, hand soap, tortillas, pork, butter, hand soap, laundry detergent, milk
 fruits, fruits, ice cream, dishwashing liquid/detergent, yogurt, soda, dinner rolls, coffee/tea, vegetables, beef, bagels, toilet paper, beef, all- purpose
 vegetables, cereals, dishwashing liquid/detergent, cereals, vegetables, sugar, cereals, ,,,,,,
 laundry detergent, poultry, spaghetti sauce, vegetables, mixes, coffee/tea, ,,,,,,,
 laundry detergent, cheeses, shampoo, laundry detergent, hand soap, fruits, fruits, fruits, dinner rolls, soap, pork, cheeses, vegetables, sandwich bags
 dishwashing liquid/detergent, bagels, laundry detergent, dinner rolls, cheeses, juice, sandwich bags, dinner rolls, fruits, yogurt, paper towels, lunch meat, aluminum foil, paper towels
 individual meals, flour, spaghetti sauce, dishwashing liquid/detergent, sandwich bags, eggs, ketchup, pasta, vegetables, fruits, soda, hand soap, spaghetti sauce, sandwich bags
 mixes, ketchup, spaghetti sauce, juice, individual meals, sugar, cereals, individual meals, all- purpose, dishwashing liquid/detergent, shampoo, butter, paper towels, flour
 aluminum foil, butter, pork, coffee/tea, vegetables, juice, eggs, sandwich loaves, ,,,,,
 aluminum foil, shampoo, ketchup, tortillas, ,,,,,,,,,
 eggs, milk, paper towels, sugar, yogurt, pork, pork, individual meals, spaghetti sauce, cereals, spaghetti sauce, cheeses, flour, spaghetti sauce
 tortillas, milk, flour, vegetables, paper towels, cereals, ,,,,,,,
 cheeses, flour, hand soap, vegetables, vegetables, sugar, flour, individual meals, tortillas, aluminum foil, fruits, waffles, all- purpose, vegetables
 coffee/tea, vegetables, sandwich loaves, tortillas, tortillas, sandwich bags, soda, vegetables, waffles, ice cream, milk, beef, mixes, toilet paper
 sandwich bags, aluminum foil, sandwich loaves, butter, coffee/tea, coffee/tea, tortillas, poultry, flour, soda, milk, paper towels, vegetables, ice cream
 sugar, cheeses, beef, spaghetti sauce, lunch meat, soap, vegetables, paper towels, aluminum foil, toilet paper, dinner rolls, eggs, pasta, hand soap
 toilet paper, soap, soda, cereals, vegetables, shampoo, yogurt, sugar, cereals, poultry, lunch meat, waffles, ice cream, sandwich loaves
 flour, flour, individual meals, hand soap, dishwashing liquid/detergent, aluminum foil, cheeses, vegetables, ,,,,,
 laundry detergent, ketchup, ketchup, sugar, soap, lunch meat, vegetables, pork, lunch meat, ,,,,
 yogurt, mixes, ketchup, eggs, ,,,,,,,,,
 cheeses, individual meals, pork, butter, eggs, fruits, laundry detergent, dishwashing liquid/detergent, soda, mixes, pasta, toilet paper, spaghetti sauce, dinner rolls
 sandwich bags, bagels, spaghetti sauce, hand soap, laundry detergent, sugar, spaghetti sauce, dishwashing liquid/detergent, poultry, individual meals, yogurt, ,,
 ice cream, coffee/tea, paper towels, vegetables, toilet paper, soda, beef, ketchup, ice cream, pork, individual meals, ketchup, fruits, vegetables
 paper towels, butter, coffee/tea, sandwich bags, ,,,,,,,,,
 cheeses, soap, bagels, all- purpose, soap, bagels, mixes, sandwich loaves, butter, individual meals, soda, laundry detergent, sandwich loaves, eggs
 bagels, soda, ketchup, fruits, pork, fruits, vegetables, ice cream, cereals, lunch meat, waffles, vegetables, ice cream, hand soap
 hand soap, tortillas, dinner rolls, eggs, cereals, soda, soda, all- purpose, eggs, ice cream, waffles, hand soap, cheeses, poultry
 tortillas, hand soap, ice cream, bagels, cereals, shampoo, vegetables, sandwich loaves, eggs, individual meals, paper towels, soap, butter, ketchup
 bagels, poultry, ice cream, aluminum foil, spaghetti sauce, vegetables, pasta, pasta, paper towels, poultry, all- purpose, hand soap, fruits, soda
 tortillas, coffee/tea, poultry, lunch meat, butter, mixes, laundry detergent, paper towels, milk, vegetables, vegetables, dinner rolls, fruits, dishwashing liquid/detergent
 juice, pork, sandwich bags, aluminum foil, toilet paper, dinner rolls, ketchup, milk, flour, fruits, hand soap, ice cream, coffee/tea, mixes
 laundry detergent, paper towels, sugar, pasta, laundry detergent, soda, tortillas, laundry detergent, coffee/tea, all- purpose, soda, eggs, ketchup, ketchup
 toilet paper, hand soap, coffee/tea, fruits, flour, laundry detergent, bagels, ,,,,,,
 bagels, fruits, laundry detergent, toilet paper, ,,,,,,,,,
 poultry, shampoo, hand soap, cereals, butter, dinner rolls, cereals, tortillas, yogurt, dishwashing liquid/detergent, vegetables, soda, fruits, soda
 dinner rolls, bagels, vegetables, soap, soap, spaghetti sauce, mixes, soda, juice, pasta, mixes, paper towels, soda, individual meals
 butter, vegetables, aluminum foil, individual meals, poultry, hand soap, sugar, soda, soda, vegetables, laundry detergent, vegetables, flour, eggs
 ice cream, waffles, shampoo, dinner rolls, yogurt, cereals, aluminum foil, mixes, spaghetti sauce, waffles, coffee/tea, vegetables, cereals, poultry
 pasta, ice cream, pork, dishwashing liquid/detergent, ice cream, paper towels, ice cream, lunch meat, paper towels, waffles, tortillas, milk, butter, vegetables
 tortillas, aluminum foil, yogurt, individual meals, lunch meat, waffles, toilet paper, poultry, sandwich loaves, aluminum foil, milk, dinner rolls, individual meals, flour
 vegetables, vegetables, paper towels, lunch meat, waffles, paper towels, butter, vegetables, butter, tortillas, ice cream, spaghetti sauce, waffles, 
 cereals, shampoo, soda, yogurt, sugar, sandwich bags, lunch meat, sugar, yogurt, sugar, juice, pasta, shampoo, dinner rolls
 waffles, hand soap, fruits, sugar, milk, bagels, dishwashing liquid/detergent, waffles, soda, ice cream, pasta, flour, butter, mixes
 dishwashing liquid/detergent, aluminum foil, sandwich bags, poultry, flour, waffles, ,,,,,,,
 all- purpose, soap, individual meals, mixes, individual meals, cereals, bagels, beef, laundry detergent, vegetables, waffles, flour, cheeses, dishwashing liquid/detergent
 soap, coffee/tea, pasta, sugar, aluminum foil, ice cream, eggs, dinner rolls, sugar, fruits, butter, milk, hand soap, aluminum foil
 sandwich loaves, paper towels, sugar, mixes, ,,,,,,,,,
 butter, dishwashing liquid/detergent, laundry detergent, spaghetti sauce, sandwich loaves, pork, spaghetti sauce, toilet paper, milk, vegetables, laundry detergent, aluminum foil, aluminum foil, beef
 vegetables, eggs, eggs, waffles, ,,,,,,,,,
 cereals, sandwich loaves, paper towels, ice cream, beef, coffee/tea, vegetables, sandwich bags, fruits, ice cream, eggs, pasta, toilet paper, waffles
 cheeses, butter, individual meals, vegetables, poultry, soap, vegetables, toilet paper, fruits, dinner rolls, vegetables, tortillas, butter, dinner rolls
 waffles, waffles, toilet paper, tortillas, fruits, hand soap, all- purpose, flour, all- purpose, tortillas, mixes, soda, mixes, shampoo
 dinner rolls, juice, aluminum foil, paper towels, hand soap, ice cream, vegetables, vegetables, aluminum foil, tortillas, soda, bagels, vegetables, vegetables
 dishwashing liquid/detergent, all- purpose, bagels, aluminum foil, vegetables, ketchup, pasta, dishwashing liquid/detergent, lunch meat, ice cream, shampoo, sugar, fruits, fruits
 beef, yogurt, butter, yogurt, waffles, waffles, ,,,,,,,
 dishwashing liquid/detergent, dishwashing liquid/detergent, beef, soda, coffee/tea, ketchup, mixes, all- purpose, flour, fruits, vegetables, sandwich bags, vegetables, fruits
 vegetables, cereals, ketchup, bagels, ice cream, ,,,,,,,,
 tortillas, spaghetti sauce, laundry detergent, aluminum foil, spaghetti sauce, yogurt, sandwich bags, poultry, ketchup, fruits, yogurt, butter, all- purpose, butter
 soda, toilet paper, individual meals, aluminum foil, poultry, dinner rolls, waffles, soap, cheeses, eggs, cheeses, juice, pasta, vegetables
 spaghetti sauce, coffee/tea, mixes, milk, vegetables, sugar, tortillas, juice, coffee/tea, mixes, ketchup, eggs, pasta, vegetables
 butter, butter, aluminum foil, aluminum foil, sandwich loaves, toilet paper, poultry, aluminum foil, vegetables, pasta, butter, coffee/tea, pasta, yogurt
 vegetables, eggs, vegetables, laundry detergent, cereals, all- purpose, ,,,,,,,
 poultry, waffles, tortillas, aluminum foil, flour, beef, yogurt, waffles, all- purpose, vegetables, flour, tortillas, butter, individual meals
 ice cream, bagels, waffles, ice cream, dishwashing liquid/detergent, sandwich bags, sugar, cheeses, spaghetti sauce, flour, pasta, pasta, eggs, paper towels
 poultry, bagels, coffee/tea, all- purpose, sandwich loaves, spaghetti sauce, shampoo, mixes, sandwich loaves, soda, individual meals, dishwashing liquid/detergent, dinner rolls, laundry detergent
 sandwich loaves, sugar, fruits, eggs, cheeses, spaghetti sauce, waffles, ,,,,,,
 dinner rolls, cheeses, laundry detergent, all- purpose, pasta, aluminum foil, fruits, ketchup, fruits, butter, ice cream, paper towels, fruits, sugar
 cereals, eggs, hand soap, vegetables, butter, soda, yogurt, shampoo, bagels, pasta, tortillas, sugar, fruits, toilet paper
 sandwich loaves, lunch meat, soda, cheeses, mixes, bagels, soap, vegetables, cereals, yogurt, hand soap, juice, sugar, butter
 vegetables, paper towels, spaghetti sauce, butter, fruits, cheeses, poultry, pasta, vegetables, mixes, spaghetti sauce, aluminum foil, coffee/tea, spaghetti sauce
 cereals, cheeses, paper towels, tortillas, flour, sandwich loaves, all- purpose, ,,,,,,
 toilet paper, sandwich loaves, spaghetti sauce, poultry, pasta, waffles, butter, dinner rolls, flour, fruits, all- purpose, bagels, toilet paper, lunch meat
 sugar, poultry, juice, paper towels, eggs, juice, bagels, hand soap, mixes, paper towels, hand soap, tortillas, vegetables, dinner rolls
 cereals, shampoo, dishwashing liquid/detergent, individual meals, fruits, poultry, beef, vegetables, yogurt, waffles, toilet paper, juice, individual meals, vegetables
 lunch meat, butter, cereals, fruits, fruits, tortillas, waffles, hand soap, ,,,,,
 flour, beef, coffee/tea, sandwich bags, poultry, poultry, eggs, yogurt, mixes, yogurt, all- purpose, flour, spaghetti sauce, individual meals
 all- purpose, sandwich bags, fruits, waffles, cheeses, sandwich loaves, vegetables, lunch meat, soda, dinner rolls, all- purpose, pasta, beef, hand soap
 laundry detergent, mixes, pasta, pasta, mixes, laundry detergent, soda, bagels, soda, spaghetti sauce, butter, shampoo, toilet paper, sandwich loaves
 bagels, milk, fruits, paper towels, soap, dinner rolls, all- purpose, flour, lunch meat, sugar, pork, sandwich loaves, laundry detergent, shampoo
 eggs, shampoo, aluminum foil, milk, waffles, ketchup, ,,,,,,,
 sandwich bags, spaghetti sauce, all- purpose, aluminum foil, milk, bagels, toilet paper, eggs, coffee/tea, toilet paper, mixes, toilet paper, paper towels, mixes
 fruits, dishwashing liquid/detergent, paper towels, pasta, waffles, ,,,,,,,,
 laundry detergent, vegetables, soap, shampoo, milk, eggs, paper towels, ,,,,,,
 toilet paper, lunch meat, aluminum foil, lunch meat, laundry detergent, toilet paper, vegetables, vegetables, all- purpose, bagels, pasta, ,,
 vegetables, juice, sandwich bags, shampoo, poultry, beef, lunch meat, coffee/tea, sandwich loaves, ,,,,
 milk, cereals, sandwich bags, soda, butter, vegetables, individual meals, cereals, sugar, bagels, soap, soda, individual meals, 
